College,Department,Prefix,Number,Title
,,,,
Muma College of Business,Dean's Office (BU),ACG,5007,MBA Essentials: Accounting
Muma College of Business,Dean's Office (BU),ECO,5060,MBA Essentials: Economics
Muma College of Business,Dean's Office (BU),ECO,6419,Managerial Analysis
Muma College of Business,Dean's Office (BU),FIN,5006,MBA Essentials: Finance
Muma College of Business,Dean's Office (BU),GEB,6458,Managing Global Sustainability
Muma College of Business,Dean's Office (BU),GEB,7980,Dissertation
Muma College of Business,Dean's Office (BU),GEB,7982,Research Skills
Muma College of Business,Dean's Office (BU),ISM,5001,MBA Essentials: Management Information Systems
Muma College of Business,Dean's Office (BU),MAN,5002,MBA Essentials: Management
Muma College of Business,Dean's Office (BU),MAN,5509,MBA Essentials: Operations Management
Muma College of Business,Dean's Office (BU),MAR,5001,MBA Essentials: Marketing
Muma College of Business,Dean's Office (BU),QMB,5010,MBA Essentials: Business Statistics
Muma College of Business,Dean's Office (BU),QMB,6303,Applied Business Analytics
Muma College of Business,Dean's Office (BU),QMB,6357,Statistics for Business Professionals
Patel College of Global Sustainability,Dean's Office (CS),IDS,6207,Renewable Transportation Fuels
Patel College of Global Sustainability,Dean's Office (CS),IDS,6208,Renewable Power Portfolio
Patel College of Global Sustainability,Dean's Office (CS),IDS,6210,Bioresources for a Sustainable Future
Patel College of Global Sustainability,Dean's Office (CS),IDS,6216,Implementing the United Nations Sustainable Development Goals
Patel College of Global Sustainability,Dean's Office (CS),IDS,6233,Concepts and Principles of Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6234,Systems Thinking: The Key to Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6235,Economics and Finance for Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6236,Sustainable Tourism Development: Principles & Practices
Patel College of Global Sustainability,Dean's Office (CS),IDS,6237,Ecotourism and Sustainable Tourism Management for Coastal Habitat and Marine Protection
Patel College of Global Sustainability,Dean's Office (CS),IDS,6239,Principles of Six Sigma for Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6244,"Waste Not, Want Not: Reconsidering Waste, Repurposing Wasted Resources"
Patel College of Global Sustainability,Dean's Office (CS),IDS,6245,Sustainable Water Resource Management: Doing More with Less
Patel College of Global Sustainability,Dean's Office (CS),IDS,6246,Water Sensitive Urban Design for Sustainable Communities
Patel College of Global Sustainability,Dean's Office (CS),IDS,6247,Water Resources Planning
Patel College of Global Sustainability,Dean's Office (CS),IDS,6270,Sustainable Food Production
Patel College of Global Sustainability,Dean's Office (CS),IDS,6271,"The Future of Food: Environment, Health and Policy"
Patel College of Global Sustainability,Dean's Office (CS),IDS,6272,Research Methods for Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6275,Policy for Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6276,Navigating the Sustainable Food/Energy/Water Nexus
Patel College of Global Sustainability,Dean's Office (CS),IDS,6280,Climate Change Adaptation and Mitigation
Patel College of Global Sustainability,Dean's Office (CS),IDS,6707,Envisioning Sustainability: Tools for 21st Century Communicators of Sustainability Science
Patel College of Global Sustainability,Dean's Office (CS),IDS,6908,Directed Reading/Directed Independent Study
Patel College of Global Sustainability,Dean's Office (CS),IDS,6935,Capstone Research Project
Patel College of Global Sustainability,Dean's Office (CS),IDS,6938,Special Topics/Seminars
Patel College of Global Sustainability,Dean's Office (CS),IDS,6946,Sustainability Internship
Morsani College of Medicine,Dean's Office (MD),PAS,5101,Advanced Internal Medicine Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6001,Patient Evaluation and Hospital Practicum
Morsani College of Medicine,Dean's Office (MD),PAS,6002,Cultural Issues in Healthcare
Morsani College of Medicine,Dean's Office (MD),PAS,6003,Physical Diagnosis
Morsani College of Medicine,Dean's Office (MD),PAS,6004,Clinical Problem Solving/Differential Diagnosis
Morsani College of Medicine,Dean's Office (MD),PAS,6005,Behavioral Medicine
Morsani College of Medicine,Dean's Office (MD),PAS,6007,Clinical Skills and Procedures
Morsani College of Medicine,Dean's Office (MD),PAS,6008,Advanced Clinical Practicum
Morsani College of Medicine,Dean's Office (MD),PAS,6010,Human Physiology
Morsani College of Medicine,Dean's Office (MD),PAS,6011,Clinical Medicine I
Morsani College of Medicine,Dean's Office (MD),PAS,6012,Clinical Medicine II
Morsani College of Medicine,Dean's Office (MD),PAS,6013,Evidence-Based Medicine
Morsani College of Medicine,Dean's Office (MD),PAS,6021,Biostatistics and Epidemiology
Morsani College of Medicine,Dean's Office (MD),PAS,6022,Anatomy with Lab I
Morsani College of Medicine,Dean's Office (MD),PAS,6023,Clinical Pharmacology I
Morsani College of Medicine,Dean's Office (MD),PAS,6024,Anatomy with Lab II
Morsani College of Medicine,Dean's Office (MD),PAS,6026,Clinical Pharmacology II
Morsani College of Medicine,Dean's Office (MD),PAS,6028,Pathophysiological Basis of Disease I
Morsani College of Medicine,Dean's Office (MD),PAS,6029,Pathophysiological Basis of Disease II
Morsani College of Medicine,Dean's Office (MD),PAS,6030,Clinical Laboratory and Diagnostics I
Morsani College of Medicine,Dean's Office (MD),PAS,6032,Clinical Laboratory and Diagnostics II
Morsani College of Medicine,Dean's Office (MD),PAS,6033,Clinical Medicine III
Morsani College of Medicine,Dean's Office (MD),PAS,6035,Basic Medical Genetics
Morsani College of Medicine,Dean's Office (MD),PAS,6036,Physical Diagnosis I
Morsani College of Medicine,Dean's Office (MD),PAS,6037,Physical Diagnosis II
Morsani College of Medicine,Dean's Office (MD),PAS,6039,Advanced Clinical Pharmacotherapeutics
Morsani College of Medicine,Dean's Office (MD),PAS,6050,Role of the Physician Assistant in American Healthcare
Morsani College of Medicine,Dean's Office (MD),PAS,6051,Legal and Ethical Issues in Healthcare
Morsani College of Medicine,Dean's Office (MD),PAS,6052,Business of Medicine
Morsani College of Medicine,Dean's Office (MD),PAS,6060,Alternative and Complementary Medicine
Morsani College of Medicine,Dean's Office (MD),PAS,6100,Internal Medicine Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6125,Behavioral and Mental Health Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6126,Mental Health Care Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6185,Primary Care & Geriatrics Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6200,Surgery Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6300,Pediatrics Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6400,Family Medicine Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6500,Women's Health Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6600,Emergency Medicine Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6911,Physician Assistant Capstone Project
Morsani College of Medicine,Dean's Office (MD),PAS,6940,Selective Clinical Rotation
College of Nursing,Dean's Office (NR),NGR,6004C,Advanced Health Assessment Across the Lifespan for Nurse Anesthesiology
College of Nursing,Dean's Office (NR),NGR,6475,Integrative Pain Management Strategies
College of Nursing,Dean's Office (NR),NGR,6732,Foundations of Nursing Professional Development
College of Nursing,Dean's Office (NR),NGR,7861,Principles of Microbiome Research
Taneja College of Pharmacy,Dean's Office (RX),PHA,6146,Introduction to Nanotechnology
Taneja College of Pharmacy,Dean's Office (RX),PHA,6147,Nanotechnology and Risk Management
Taneja College of Pharmacy,Dean's Office (RX),PHA,6148,Nanoformulations and Nanopharmaceuticals
Taneja College of Pharmacy,Dean's Office (RX),PHA,6186,Innovations in Bio-Pharmaceuticals
Taneja College of Pharmacy,Dean's Office (RX),PHA,6187,Introduction to Drug Manufacturing and Processes
Taneja College of Pharmacy,Dean's Office (RX),PHA,6188,New Drug Review
Taneja College of Pharmacy,Dean's Office (RX),PHA,6222,Pharmacy Practice Management
Taneja College of Pharmacy,Dean's Office (RX),PHA,6225,"Invention, Innovation and Entrepreneurship"
Taneja College of Pharmacy,Dean's Office (RX),PHA,6245,Pharmaceutical Informatics
Taneja College of Pharmacy,Dean's Office (RX),PHA,6277,Ethics in Pharmaceutical Practice and Research
Taneja College of Pharmacy,Dean's Office (RX),PHA,6336,Tissue Engineering and Regenerative Medicine
Taneja College of Pharmacy,Dean's Office (RX),PHA,6449,Pharmacogenomics--Current and Future Prospects
Taneja College of Pharmacy,Dean's Office (RX),PHA,6523C,Practical Experiences in Nanotechnology
Taneja College of Pharmacy,Dean's Office (RX),PHA,6618,Principles of Geriatric Medicine
Taneja College of Pharmacy,Dean's Office (RX),PHA,6621,Internship in Pharmaceutical Sciences
Taneja College of Pharmacy,Dean's Office (RX),PHA,6622,Advanced Geriatric Pharmacy Care
Taneja College of Pharmacy,Dean's Office (RX),PHA,6708,Teaching in Pharmacy
Taneja College of Pharmacy,Dean's Office (RX),PHA,6756,Bioengineering and Nanotherapeutic Approaches
Taneja College of Pharmacy,Dean's Office (RX),PHA,6797,Scientific Writing and Communication
Taneja College of Pharmacy,Dean's Office (RX),PHA,6952,Capstone in Pharmacy
Taneja College of Pharmacy,Dean's Office (RX),PHA,6971,Master's Thesis
Taneja College of Pharmacy,Dean's Office (RX),PHA,7930,Special Topics in Pharmacy
Taneja College of Pharmacy,Dean's Office (RX),PHA,7939,Graduate Programs Seminar
Taneja College of Pharmacy,Dean's Office (RX),PHC,6319,Modern Human Diseases
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5395,Visual Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5406,"Ethnobotany: People, Plants and Culture"
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5486,Quantitative Methods in Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5901,Directed Reading
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5910,Individual Research
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5937,Seminar in Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6081,Museum Methods
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6084,Anthropological Theory Today
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6100,Topics in Archaeological Science
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6110,Archaeology Theory and Current Issues
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6115,Seminar in Archaeology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6153,Topics in North American Archaeology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6155,Southeastern U.S. Archaeology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6175,Topics in Mediterranean Archaeology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6189,Ancient Diets
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6195,Ancient Trade
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6197,Public Archaeology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6198,Regional Problems in Methods of Public Archaeology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6270,Chiefdoms
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6302,Gender in Cross-Cultural Perspective
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6392,Engaging Ethnography
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6404,Health and Medical Systems
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6436,Issues in Heritage Tourism
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6447,Selected Topics in Urban Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6463,Social Epidemiology Applied Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6465,Regional Problems in Medical Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6469,Selected Topics in Medical Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6490,Seminar in Cultural Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6495,Oral History and Life History: Approaches to Qualitative Research
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6497,Qualitative Research Methods in Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6511,Seminar in Physical Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6516,Human Variation
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6525,Human Osteology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6533,Anthropology of Human Growth and Development
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6536,Bioarchaeology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6570,Nutritional Assessment
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6575,Neuroanthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6584,Evolution and Life History Theory
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6585,Theories in Applied Bioanthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6701,Contemporary Applied Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6705,Foundations of Applied Anthropology I
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6706,Foundations of Applied Anthropology II
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6730,Socio Cultural Aspects of HIV/AIDS
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6731,Health and Disasters
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6732,Global Health from an Anthropological Perspective
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6733,Issues in Migrant Health
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6735,Reproductive Health
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6739,Applied Anthropology and International Health
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6741,Introduction to Forensic Sciences
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6745,Forensic Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6746,Investigation of Violent Crimes Against Children
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6766,Research Methods in Applied Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6770,Crime Scene Reconstruction
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6771,The Science of Missing and Unidentified Persons
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6772,Homicide Investigations
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6905,Independent Study
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6915,Directed Research Internship
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6971,Thesis: Master's
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7487,Advanced Quantitative Research Methods Applied Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7704,Legal and Ethical Aspects of Applied Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7708,Selected Topics in Applied Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7709,Applied Anthropology and Human Problems
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7905,Directed Individual Study
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7910,Directed Research
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7938,Doctoral Proseminar in Applied Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7940,Doctoral Internship in Applied Anthropology
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7980,Dissertation: Doctoral
College of Arts and Sciences,Department of Anthropology,ANT,2000,Introduction to Anthropology
College of Arts and Sciences,Department of Anthropology,ANT,2410,Cultural Anthropology
College of Arts and Sciences,Department of Anthropology,ANT,2464,Global Health from a Social Science Perspective
College of Arts and Sciences,Department of Anthropology,ANT,2511,Biological Anthropology
College of Arts and Sciences,Department of Anthropology,ANT,2511L,Biological Anthropology Laboratory
College of Arts and Sciences,Department of Anthropology,ANT,2721,Anthropology of Urban Education in a Globalizing Age
College of Arts and Sciences,Department of Anthropology,ANT,3005,The Anthropological Perspective
College of Arts and Sciences,Department of Anthropology,ANT,3101,Archaeology
College of Arts and Sciences,Department of Anthropology,ANT,3610,Linguistic Anthropology
College of Arts and Sciences,Department of Anthropology,ANT,4012,Fantastic Archaeology
College of Arts and Sciences,Department of Anthropology,ANT,4034,Theories of Culture
College of Arts and Sciences,Department of Anthropology,ANT,4114,Seminar in Archaeological Method and Theory
College of Arts and Sciences,Department of Anthropology,ANT,4142,Old World Archaeology
College of Arts and Sciences,Department of Anthropology,ANT,4143,European Archaeology
College of Arts and Sciences,Department of Anthropology,ANT,4153,North American Archaeology
College of Arts and Sciences,Department of Anthropology,ANT,4158,Florida Archaeology
College of Arts and Sciences,Department of Anthropology,ANT,4163,Mesoamerican Archaeology
College of Arts and Sciences,Department of Anthropology,ANT,4165,South American Archaeology
College of Arts and Sciences,Department of Anthropology,ANT,4167,"Maya, Aztec, and Inka Civilizations"
College of Arts and Sciences,Department of Anthropology,ANT,4172,Historical Archaeology
College of Arts and Sciences,Department of Anthropology,ANT,4176,Archaeology of Africa
College of Arts and Sciences,Department of Anthropology,ANT,4178,The History & Archaeology of the African Diaspora
College of Arts and Sciences,Department of Anthropology,ANT,4180,Laboratory Methods in Archaeology
College of Arts and Sciences,Department of Anthropology,ANT,4181,Museum Methods
College of Arts and Sciences,Department of Anthropology,ANT,4183C,Archaeological Science
College of Arts and Sciences,Department of Anthropology,ANT,4185,Ancient Diets
College of Arts and Sciences,Department of Anthropology,ANT,4197,Archaeology of Death and Burial
College of Arts and Sciences,Department of Anthropology,ANT,4241,Anthropology of Religion
College of Arts and Sciences,Department of Anthropology,ANT,4243,The Middle East and North Africa
College of Arts and Sciences,Department of Anthropology,ANT,4260,Ancient Trade
College of Arts and Sciences,Department of Anthropology,ANT,4285,Oral History
College of Arts and Sciences,Department of Anthropology,ANT,4302,Gender in Cross-Cultural Perspective
College of Arts and Sciences,Department of Anthropology,ANT,4312,North American Indians
College of Arts and Sciences,Department of Anthropology,ANT,4316,Ethnic Diversity in the United States
College of Arts and Sciences,Department of Anthropology,ANT,4340,The Caribbean
College of Arts and Sciences,Department of Anthropology,ANT,4352,Peoples of Africa
College of Arts and Sciences,Department of Anthropology,ANT,4390,Visual Anthropology
College of Arts and Sciences,Department of Anthropology,ANT,4401,Exploring Cross-Cultural Diversity
College of Arts and Sciences,Department of Anthropology,ANT,4403,Environmental Anthropology
College of Arts and Sciences,Department of Anthropology,ANT,4432,The Individual and Culture
College of Arts and Sciences,Department of Anthropology,ANT,4442,Urban Life and Culture
College of Arts and Sciences,Department of Anthropology,ANT,4445,Ancient Cities and Sustainability
College of Arts and Sciences,Department of Anthropology,ANT,4462,"Health, Illness, and Culture"
College of Arts and Sciences,Department of Anthropology,ANT,4465,Anthropology of Food
College of Arts and Sciences,Department of Anthropology,ANT,4467,"Food, Health, and Culture"
College of Arts and Sciences,Department of Anthropology,ANT,4468,Biocultural Bases of Health and Disease
College of Arts and Sciences,Department of Anthropology,ANT,4472,Work and Migration in the Americas
College of Arts and Sciences,Department of Anthropology,ANT,4475,Anthropology of Childhood
College of Arts and Sciences,Department of Anthropology,ANT,4495,Methods in Cultural Research
College of Arts and Sciences,Department of Anthropology,ANT,4516,Human Variation
College of Arts and Sciences,Department of Anthropology,ANT,4520C,Forensic Anthropology
College of Arts and Sciences,Department of Anthropology,ANT,4525,Human Osteology and Osteometry
College of Arts and Sciences,Department of Anthropology,ANT,4532,Anthropology of Infectious and Contagious Diseases
College of Arts and Sciences,Department of Anthropology,ANT,4536,Bioarchaeology
College of Arts and Sciences,Department of Anthropology,ANT,4586,Prehistoric Human Evolution
College of Arts and Sciences,Department of Anthropology,ANT,4593,Evolution and Health
College of Arts and Sciences,Department of Anthropology,ANT,4620,Language and Culture
College of Arts and Sciences,Department of Anthropology,ANT,4701,Applied Anthropology
College of Arts and Sciences,Department of Anthropology,ANT,4824,Archaeological Field Methods
College of Arts and Sciences,Department of Anthropology,ANT,4901,Directed Reading
College of Arts and Sciences,Department of Anthropology,ANT,4905,Individual Research
College of Arts and Sciences,Department of Anthropology,ANT,4930,Special Topics in Anthropology
College of Arts and Sciences,Department of Anthropology,ANT,4932,Honors Seminar
College of Arts and Sciences,Department of Anthropology,ANT,4935,Rethinking Anthropology
College of Arts and Sciences,Department of Anthropology,ANT,4940,Directed Internship Including Practicum
College of Arts and Sciences,Department of Anthropology,ANT,4970,Honors Thesis
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,5425,Genetic Engineering and Recombinant DNA Technology
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,6428,Immunological Techniques for Cancer Research
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,6457,Modern Basic Tools of Research
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,6875,Cancer Drug Discovery
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,6882,Integrated Mathematical Oncology I
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,6883,Integrated Mathematical Oncology II
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,6905,Independent Study
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,6933,Advances in Integrated Mathematical Oncology
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,6939,Selected Topics in Cancer Biology
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,7911,Directed Research in Cancer Biology
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,6205,Bacterial Pathogenesis
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,6305,Advanced Bacterial Genetics
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,6930,Graduate Microbiology Seminar
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,6971,Thesis: Master's
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6107,Advanced Cell Biology
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6205,Cancer Biology III - Cancer Genomics and Drug Discovery
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6230,Cancer Biology I - Basics of Molecular Oncology
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6231,Cancer Biology II - Immunology and Applied Biology
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6275,Cell Signaling
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6281,Cancer Immunotherapy
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6282,Cancer Biology and the Immune System
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6525,Molecular Genetics
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6526,Cancer Biology IV - Concepts and Techniques in Cancer Genetics
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6910,Cancer Biology Lab Rotations
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6920,Advances in Cell and Molecular Biology
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6930,Current Topics in Cancer Biology
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6931,Advances in Cancer Biology Research
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6932,Bioethics for Cancer Researchers
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6934,Advances in Cancer Chemical Biology
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6936,Advances in Tumor Immunology and Cancer Research
College of Arts and Sciences: School of Natural Sciences and Mathematics,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,6956,Scientific Grant Writing
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",BOT,3850,Medical Botany
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,1020,The Biology of Humans
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,2010,Cellular Processes
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,2010L,Cellular Processes Laboratory
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,3022,Biology of Aging
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,4452,Computational Biology
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",BSC,4935,Seminar in Cell and Molecular Biology
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,3020,General Microbiology
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,3020L,General Microbiology Laboratory
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,3410,Cell Metabolism
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,4115,Determinative Bacteriology
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,4115L,Determinative Bacteriology Laboratory
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,4223,Food Microbiology
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,4277,Insect-Borne Diseases and Global Health
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,4320,Molecular Microbiology
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,4503,Virology
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,4905,Microbiology Undergraduate Research
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,4933,Selected Topics in Microbiology
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",MCB,4934,Seminar in Microbiology
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,3023,Cell Biology
College of Arts and Sciences,"Department of Cell Biology, Microbiology, and Molecular Biology",PCB,3023L,Cell Biology Laboratory
